id,name,abbrev,state,days,activeHunters,bagPerHunter
01,Alabama,AL,AK,20991.93,4393.878,10.562
02,Alaska,AK,AL,75338.41,13325.902,10.61
04,Arizona,AZ,AR,403930.414,52704.414,21.086
05,Arkansas,AR,AZ,17137.702,3297.702,11.82
06,California,CA,CA,402303.748,47184.87,25.334
08,Colorado,CO,CO,66102.418,11456.86,9.028
09,Connecticut,CT,CT,10575.308,1666.684,7.148
10,Delaware,DE,DE,25642.14,3636.764,10.058
11,District of Columbia,DC,,,,
12,Florida,FL,FL,82591.294,14567.732,13.868
13,Georgia,GA,GA,94556.428,17504.332,7.914
15,Hawaii,HI,,,,
19,Iowa,IA,IA,104024.79,13760.75,11.558
16,Idaho,ID,ID,104814.896,16375.362,15.772
17,Illinois,IL,IL,237486.272,27152.954,13.056
18,Indiana,IN,IN,72593.034,9724.11,9.73
20,Kansas,KS,KS,96711.202,16170.506,13.458
21,Kentucky,KY,KY,61517.788,8108.7,12.946
22,Louisiana,LA,LA,568321.632,71050.378,23.346
23,Maine,ME,MA,17926.02,3189.202,5.256
24,Maryland,MD,MD,73622.298,15461.472,6.212
25,Massachusetts,MA,ME,22242.002,4226.78,5.46
26,Michigan,MI,MI,221530.262,35274.88,9.29
27,Minnesota,MN,MN,373394.116,62592.68,9.704
29,Missouri,MO,MO,213433.702,30997.784,14.562
28,Mississippi,MS,MS,97208.952,14566.656,18.822
30,Montana,MT,MT,73696.014,14184.534,10.924
31,Nebraska,NE,NE,89048.42,12606.618,12.766
32,Nevada,NV,NV,16383.488,3060.796,11.634
33,New Hampshire,NH,NH,14899.118,2321.396,5.19
34,New Jersey,NJ,NJ,39980.886,6358.508,8.854
35,New Mexico,NM,NM,15981.176,3413.894,10.458
36,New York,NY,NY,111325.566,19268.774,8.8
37,North Carolina,NC,NC,202264.252,32531.034,11.22
38,North Dakota,ND,ND,167503.254,33774.12,14.316
39,Ohio,OH,OH,121377.946,15861.718,8.372
40,Oklahoma,OK,OK,118196.626,17118.508,18.418
41,Oregon,OR,OR,121403.756,16980.584,18.344
42,Pennsylvania,PA,PA,87632.536,19631.304,4.03
44,Rhode Island,RI,RI,4388.612,605.66,8.752
45,South Carolina,SC,SC,112333.234,18258.18,9.598
46,South Dakota,SD,SD,72792.552,13673.302,13.166
47,Tennessee,TN,TN,92938.498,11386.168,19.77
48,Texas,TX,TX,407137.932,69702.55,16.64
49,Utah,UT,UT,97192.334,15799.37,13.154
50,Vermont,VT,VT,16237.568,2927.948,7.124
51,Virginia,VA,VA,83522.08,15397.462,8.28
53,Washington,WA,WA,153562.278,21398.816,19.052
54,West Virginia,WV,WV,4680.852,793.914,7.43
55,Wisconsin,WI,WI,345731.72,53451.336,7.616
56,Wyoming,WY,WY,18951.836,3579.558,10.5
